modelo,umbral,tasa_aprobacion,mora_aprobados,precision,recall,f1
V1 (con Genero),0.02,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.025,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.03,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.035,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.04,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.045,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.05,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.055,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.06,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.065,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.07,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.075,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.08,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.085,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.09,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.095,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.1,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.105,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.11,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.115,0.0,0.0,0.0915,1.0,0.16766
V1 (con Genero),0.12,0.18301,0.07143,0.096,0.85714,0.17266
V1 (con Genero),0.125,0.27887,0.07031,0.0997,0.78571,0.17694
V1 (con Genero),0.13,0.44009,0.05941,0.11673,0.71429,0.20067
V1 (con Genero),0.135,0.77996,0.06145,0.19802,0.47619,0.27972
V1 (con Genero),0.14,0.9281,0.08451,0.18182,0.14286,0.16
V1 (con Genero),0.145,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.15,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.155,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.16,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.165,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.17,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.175,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.18,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.185,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.19,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.195,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.2,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.205,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.21,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.215,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.22,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.225,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.23,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.235,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.24,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.245,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.25,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.255,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.26,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.265,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.27,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.275,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.28,1.0,0.0915,0.0,0.0,0.0
V1 (con Genero),0.285,1.0,0.0915,0.0,0.0,0.0
